,TITLE,CATEGORY,flg
126,1161 4422 1162 5521 652 3117 9 1573 1239,b,train
127,2386 2387 8 2386 2387 1454 1163 2388,e,train
128,27 3118 3660 3661 1 2698 4423 0 2699,e,train
129,46 50 5522 12 3662 4424 2700 3119 61 485 4425 16 2,e,train
130,7336 2701 402 26 524 213 29 2702 711 1164 5 0 4 1740 2,b,train
131,72 0 71 537 927 15 206 828 49 1 2389 500 313 2,e,train
132,1455 1456 2134 13 7337 5523 466 16 538 67 1574,e,train
133,11 0 928 2703 22 875 61 539 0 0 22 7338 2,e,train
134,2704 4426 1240 7339 313 232 22 3120 0 0 2,e,train
135,929 780 86 4427 167 4 314,b,train
136,11 27 727 30 11 2705 71 1056 23 1906 172,e,train
137,166 653 273 3663 4 1741 1241 302 1 3664 252,m,train
138,372 4 7340 0 7341 7342,e,train
139,0 0 1242 4428 1 0 1343 4 41 135 433 604,e,train
140,11 366 9 1243 1244 3665 9 14 1066 9 14 4429,e,train
141,12 1575 3121 1165 871 6 4430 7343 728 729 34,b,train
142,133 185 8 133 2135 0 0 21 1727 8 881,e,train
143,195 315 380 18 501 6 0 1 7344 12 2390,b,train
144,7345 0 15 7346 103 1457 94 0 256 0 355 7347,t,train
145,1067 1344 0 6 111 301 5524 0 5 1907 1245 9 829 2,e,train
146,303 17 294 229 241 324 241 781 0,e,train
147,160 7348 5525 3666 1246 930 3667,t,train
148,3122 5526 1345 18 830 20 11 469 7349 4 290 7350,e,train
149,999 69 682 13 352 49 11 470 90 3668,e,train
150,540 4431 3103 266 7351 1064 5527 5528,e,train
151,1908 7352 36 7353 0 486 1742 7354 92 87 2,e,train
152,773 239 370 4432 1068 18 4433 174 525,b,train
153,12 78 200 20 4434 1000 1743 5 526,b,train
154,11 277 1458 18 14 295 130 434 405,e,train
155,95 13 3669 5529 30 2678 730 3123 502 23 5530 66,e,train
156,266 100 5531 22 4435 0 503 625 21 83 5532,e,train
157,1576 3670 2136 104 5533 431 1744 0,e,train
158,882 131 396 5534 1459 203 149 0 66 654,t,train
159,7355 5535 16 504 1069 13 487 245 304 61 3124 5536 3671 2,t,train
160,11 118 7356 2137 4 1068,e,train
161,1909 1745 8 1909 1745 7357 104 3672 246 994 7358,e,train
162,0 4393 465 5483 84 605,b,train
163,1910 0 0 7359 1 5537 0 15 2391 18 406 2,m,train
164,5538 2706 53 1577 3673 3674 683 20 0 4436 9 0,e,train
165,12 88 55 883 26 731 541 1070 45 1247,b,train
166,5539 7360 1460 5540 1 1166 2125 2707 3125,b,train
167,527 505 5 7361 1444 21 876 12 731 655 732,b,train
168,356 2138 37 19 7362 175 6 542 4437 345,b,train
169,357 0 3675 23 0 1 2708 117 4438,m,train
170,132 444 8 132 444 1346 0 24 2392,e,train
171,122 79 1 2393 931 4 7363 435,b,train
172,7364 1248 0 0 6 0 0,b,train
173,112 155 8 112 155 7365 2394 18 0 0,e,train
174,38 189 1733 34 5541 93 7366 3126 34 0 93,b,train
175,5542 5543 7367 2139 1911 0 7368 17 5544,e,train
176,1242 0 733 117 303 17 294 504 246 5545 7369 0,e,train
177,414 51 2709 5546 14 7370 5 0 407 3127 10 932,b,train
178,27 2710 0 46 50 140 79 0 1167,e,train
179,11 2711 0 94 0 7371 1578 7372 0 8 15 1249 488 2712 2395 2,t,train
180,3676 5547 8 3676 0 782 2713 1912 3677,e,train
181,3128 1168 143 0 5 0 1746 111 394 79 107 5548 15 0 79 2,e,train
182,46 50 335 54 14 0 5549 5 0 1245 85 18 19 4439 5550,e,train
183,52 1461 21 336 4440 37 2714 32 1747 1574,e,train
184,504 3678 465 234 605 5 316 3129 96,t,train
185,2715 0 606 357 1071 928 13 0 11 5551 0,b,train
186,7 0 7373 214 2396 0 1347 5552 4441,b,train
187,144 7374 7375 518 5 652 7376 6 68 626 1001 2,b,train
188,12 47 2716 7377 1 5553 2397 9 0 381,b,train
189,0 0 0 1163 0 72 527 0 3130,e,train
190,4442 0 2717 7378,m,train
191,1748 7379 7380 3131 13 436 74 0 0 881,t,train
192,7 3132 1 397 0 5554 7381 0 4 5555,t,train
193,1749 214 130 4443 4444 1 7382 34 1579,b,train
194,3679 5556 35 5557 4 27 124 6 62 471 34 137 267 415,e,train
195,5558 0 3680 1348 506 23 5559 466 16 23 0 0 17 2,e,train
196,1002 1462 19 7383 1 65 0 50 1913 43 4445 6 62 1894 43 2,e,train
197,267 415 8 267 415 15 1914 1750 1751 2392 717,e,train
198,1915 3681 8 1915 0 782 4446 626,e,train
199,1002 0 0 11 3682 1072 19 7384 3677 2718 0 19 2,m,train
200,131 519 1073 5560 379 0 0,e,train
201,147 317 626 4447 5561 4448 9 14 496 9 7385 684 4 884,e,train
202,1442 13 3133 17 11 0 52 2140 21 710 685 1910 170 135,e,train
203,1003 1250 286 90 1349 783 6 2141 0,b,train
204,677 776 8 677 3683 3134 5562 722 61 7386,e,train
205,148 1752 5563 13 873 1753 7387 7388 1729 17 0 1916,t,train
206,5564 0 1754 5565 0 0 355 1004 1074 450 15 2,e,train
207,784 4449 1917 819 1564 20 0 0,m,train
208,7389 1 821 196 310 1251 29 14 1755 9 507 600,b,train
209,100 785 2142 1075 1918 3135 6 1463,t,train
210,1350 1580 471 34 137 14 3136 684 9 43 7390 2719 4 41 2,e,train
211,11 373 168 7391 1464 2143 182 89 173 2134 13,b,train
212,2720 7392 5566 2398 3684 3685,b,train
213,7393 0 430 1252 6 5567 398 4450 1581,b,train
214,13 3686 19 0 2399 335 0 2400 15 7394 568 0 4451 1 2,t,train
215,606 190 19 7395 0 10 0 1582 831 5568 3084 0 0 1756 2,e,train
216,1351 2144 1465 27 3687 7396 1 0 0,t,train
217,734 0 0 7305 0 516 176 318 18 220 543,e,train
218,218 201 26 44 3688 12 885 3137 68,b,train
219,11 7397 3689 15 0 92 0 5569 35 290 5 14 2721,e,train
220,2145 162 472 1149 4452 5 3138 12 174 40,b,train
221,81 7398 627 544 1732 80 176 5 146 68,b,train
222,265 239 0 2722 18 7399 174 525,b,train
223,122 451 26 12 221 437 2723 1919 47,b,train
224,686 337 8 686 337 832 1 0 1169 0,e,train
225,7400 726 47 0 4 1583 2724 7401 1757,b,train
226,0 0 545 2146 183 7402 462 13 0 16 0 1076,e,train
227,687 338 180 0 12 822 237,b,train
228,406 3139 7403 5570 32 675 7404,b,train
229,503 625 8 503 625 15 1584 7405 190 0 0,e,train
230,5571 7406 292 333 3690 167 3666 12 0 181,b,train
231,1352 1585 2725 7407 46 50,e,train
232,4404 2147 5572 6 7408 51 32 0 0 40,t,train
233,1353 337 7409 24 782 31 598 197 0,e,train
234,156 675 1920 118 233 314 6 70 1465 1586 565,b,train
235,1253 0 124 2726 1921 3140 546 9 4453 7410 2,b,train
236,7 0 33 146 3691 3692 463 2401,b,train
237,0 25 89 3693 416 0 64 76 25 133 0 57 1077 0,e,train
238,17 5573 2148 72 5574 5575 173 623 16 23 7411 7412,e,train
239,7413 14 0,b,train
240,718 4454 2727 165 19 374 26 1170 0,b,train
241,11 786 2402 8 27 2402 170 489 1466 16 542,e,train
242,130 3694 2728 278 628 5 3141 4455,b,train
243,414 7414 7415 787 6 2709 0,t,train
244,1922 204 7416 277 5 1354 12 1732 2403 18 1758 178,b,train
245,74 0 7417 1355 1759 1078 2149 1254 933 0 1 353 5 2,t,train
246,0 15 0 0 0 0 325 13 1923 1587 1005,m,train
247,265 7418 5576 4456 18 0 4457 7419 1255 7420 7421 7422,b,train
248,629 833 222 4458 5 148 1467 0 3695 42,t,train
249,218 1924 1 3142 163 934 687 164 924 191,b,train
250,928 13 1588 23 466 16 545 1171 324 0 1159 1760 97 656,e,train
251,7423 0 24 5577 1 65 277 7424,b,train
252,3665 17 11 1066 17 11 0 1589 2404 7425 268 935 7426 2,e,train
253,936 5578 5579 1 113 428 735 39 3696,b,train
254,12 346 2729 145 9 937 68,b,train
255,416 3697 20 7427 0,b,train
256,60 56 8 60 56 920 31 28 0,e,train
257,1256 1761 0 1925 5580 2122 5581 1449 10 105 319 3143 2,e,train
258,7428 184 408 209 26 7429 2405,b,train
259,38 938 652 96 3698 1 3699 93,b,train
260,3700 3701 3103 266 0 7430 522 2126 20 3702 0 2,e,train
261,64 76 8 64 76 15 133 185 82 1590 783,e,train
262,5582 5583 1727 20 5584 1257 3703 40,t,train
263,569 1258 8 570 569 1258 0 22 7431 2406 2,e,train
264,11 607 886 8 607 0 0 382 21 603 0 13 0,e,train
265,27 5585 5586 105 1 65 1926 24 0 0 9 43 0 1927 2,m,train
266,0 0 0 7432 4 0 1896,m,train
267,52 305 1259 2369 2370 39 2730 1 4459 43 111 2725 43,e,train
268,150 73 252 336 0 1172 0 0 1757 0 520,m,train
269,160 21 1716 106 23 0 0,t,train
270,1079 0 69 23 3144 2731 1356 16 0,b,train
271,7 7433 939 105 834 688 319 2407 5 0 2150 3082,b,train
272,438 835 7434 196 2703 4 490 32 7435 829 2408,e,train
273,2151 3704 1 2732 221 26 887 9 110 2733 358 35 0,b,train
274,279 4460 1928 4461 1173 7436 2734,b,train
275,0 1058 0 452 1929 10 0 102,b,train
276,7437 137 1260 3145 24 262 0 29 7438 0,e,train
277,27 2735 48 7439 1080 30 528 120,t,train
278,128 1 2152 3146 1 5587 5588 1 7440 2153 7441,t,train
279,1006 276 630 34 14 2141 18 14 434 405 10 1081 1930 2,e,train
280,7 7442 938 5484 277 2409 6 1261 3147 5589,t,train
281,11 5590 736 0 0 655 417 1357 10 2410 685,t,train
282,1174 0 1 7443 5591 836 4462 29 3148 651 2,e,train
283,57 8 2154 0 13 1762 20 57 92 5592 689,e,train
284,7 0 936 518 5 84 6 0 204 210,b,train
285,103 230 292 333 690 34 5 1763 12 96 1007,b,train
286,12 88 55 326 34 788 5 0 179 7444 0,b,train
287,1931 3705 1932 608 66 49 7445 3706 7446 5593,e,train
288,0 2359 2118 4463 303 17 294 1591 0 2736 2737,e,train
289,484 0 33 3149 7447 211 0 223 1008 1 724 453 2,b,train
290,368 481 4464 18 2738 0 0 83 0,e,train
291,3707 0 399 28 4465 4 27 124 4 0 10 2739 2,e,train
292,7 5594 86 1592 79 4447 6 837 7448 358,b,train
293,3708 7449 383 1082 2155 940 4 295 2740 10 5595 1 257 34 1 287 2,e,train
294,7 0 5596 3709 1468 1262 4466 0,b,train
295,0 359 508 0 1 3710 737 941 3711,b,train
296,5597 2411 0 7450 54 428 8 279 7451,b,train
297,2412 0 130 0 86 1247 3150 360,b,train
298,571 0 538 5598,b,train
299,7 5599 1593 657 5 3712 7452 499 19 0 1933,t,train
300,439 300 5600 190 1 65 0 39 14 0 7453 10 135 433 6 111 2,e,train
301,1922 176 10 0 7454 5601 1934 1764,b,train
302,1594 454 2741 18 0 235 202 838,b,train
303,103 230 448 400 18 7455 1358 375 1 1765 0 202,b,train
304,1576 3128 0 0 89 1359 63 7456 32 0,e,train
305,2148 72 5574 5575 623 22 3713 16 7411 7412,e,train
306,888 5504 2742 5602 4467 572 58 1935 0,b,train
307,1469 0 5603 3714 833 1263 0 4468 235,t,train
308,7 288 7457 5604 2743 889 10 3098 148 499,t,train
309,7458 3715 3149 7459 59 80 3151 839 2744,b,train
310,3716 236 609 13 325 11 232 2745 49 3152 5605 5606,e,train
311,114 0 241 2746 397 355 547 1360,b,train
312,7460 27 3153 0 0 7461 0,e,train
313,686 337 7462 79 0 0 6 62 15 399 28 1264 79 1 2,e,train
314,3717 338 1470 0 14 0 9 207 7463,t,train
315,1009 8 529 0 13 3718 455 16 4469,e,train
316,1010 227 0 7464 2747 7465 0 0 35 1936 1 285 290 2,e,train
317,47 7466 7467 721 18 0 311 9 1059 1011,b,train
318,537 927 8 537 927 143 19 1471 0,e,train
319,12 346 5607 34 145 9 3154 96 68,b,train
320,156 45 1595 548 101 3719 1596,b,train
321,7468 4470 1937 602 830 20 11 469 24 2710 7469 4471 2,e,train
322,7 0 1573 507 306 4472 1 99 241 93 4 507,b,train
323,97 738 549 3155 7470 57 1340 69 0 22 1265 2413,e,train
324,160 3720 252 49 0 141 4473 685 57 5545 69,t,train
325,7471 4474 1083 79 1573 3721 418 0 942 872,b,train
326,571 509 436 189 1597 890 4475 32 1766,b,train
327,2414 1938 120 91 1472 7472 1266 215 600,b,train
328,1767 3156 1361 691 5608 739 215 29 593 73 152,b,train
329,0 1473 2156 0 114 1 740 2748 3157,b,train
330,7473 1175 2415 16 27 124 25 27 2735,m,train
331,5609 7474 8 5609 7474 7475 3158 0 522 164 597 2,e,train
332,0 3722 320 37 245 304 4 520 5610,t,train
333,0 0 1176 14 327,t,train
334,46 50 7476 1939 1598 891 16 7477 3723,e,train
335,5611 599 2749 940 4 447 7478 26 365 0 7479 2750 2,t,train
336,1362 1474 4476 4477 209 29 4478 184,b,train
337,148 3724 432 789 0 32 1768 296 3159,b,train
338,64 76 8 64 76 0 1599 13 133 185,e,train
339,3160 3725 149 1940 6 0 2751 1 7480 3726,b,train
340,0 0 1769 22 0 943 4479 136 16 890,e,train
341,31 28 1345 18 3727 590 1715 62 15 60 82 1 3161 530 435,e,train
342,4480 35 0 892 269 2127 2123 2673 7409 39 2,m,train
343,7 1177 189 3162 2157 741 140 105 2752 4 531 1363 6 2,b,train
344,1174 1941 8 1174 7481 1942 172 13 401 20 0 7482 2,e,train
345,122 3163 226 194 15 3164 541 1178 4481,b,train
346,1179 149 17 11 1469 550 505 0 161 1153 4482 104 2,t,train
347,31 28 8 31 598 2416 0 197,e,train
348,2417 7483 46 50 35 393 137 0 0 0,e,train
349,357 2418 0 2419 14 685 0,m,train
350,7 5612 328 4483 5 12 114 5613,b,train
351,7 0 998 7484 1475 2420 0,b,train
352,112 155 1364 0 790 1180 22 3165 17 5614 1267,e,train
353,329 2421 7485 7486 0 742 32 470 893,e,train
354,156 45 4484 5615 384 26 627,b,train
355,446 1181 140 4485 5616 1600 18 1943 1012,e,train
356,5571 7406 292 333 213 2422 178 6 181 210 99,b,train
357,1013 135 1601 57 473 2423 4 1770 1182,e,train
358,46 50 8 46 50 13 3728 16 1005 25 1472 266 172,e,train
359,21 568 0 740 5617 0 37 0 0 1 0 2,m,train
360,0 840 379 30 841 119 13 0 16 306,b,train
361,573 0 5618 3729 356 20 0,e,train
362,3166 170 894,e,train
363,3730 1179 1252 12 2753 1237 58 1365 4 7487 3167 42,b,train
364,12 88 55 3731 6 1084 3732 179 7488,e,train
365,130 692 5619 71 7489 4 5620 0 57 91 0,b,train
366,27 7490 7491 2136 0 1570 0 23 1183 842 25 404 7492,e,train
367,7 0 286 3733 1 7493 7494,b,train
368,1184 3734 376 15 297 5621 57 0 0 21 710 0,e,train
369,843 0 0 64 7495 5622 4486 40,b,train
370,95 19 2123 2754 631 123 394 632 9 0 252 24 175 1944 2,m,train
371,3168 2424 286 1476 448 9 41 0 33 1268 0,t,train
372,216 79 2422 1366 75 12 177 622 1014 1945 201,b,train
373,7 1177 159 190 3169 0 9 941 5540 4 3170 8 0,b,train
374,12 158 1 1771 67 182 1079 73 4 1070 693,b,train
375,1772 3122 0 2425 13 7496 0 369 0,e,train
376,0 0 11 0 2410 926 0,e,train
377,1946 3171 1269 7497 1 1270 3735 491,b,train
378,738 549 610 830 16 11 1185,e,train
379,0 0 10 0 4487 7498 2755,m,train
380,144 0 7499 1 4488 210 1440 400 0 5 1602 5623,b,train
381,0 9 0 0 3172 648 9 1015 542,b,train
382,2158 1016 7500 13 1603 1237 0,m,train
383,1469 3173 3736 895 21 5624,b,train
384,7 5625 33 1946 4489 5626 1 7501 190 393 1604 4490,b,train
385,12 88 55 201 5 574 0 7502 1764,b,train
386,2159 2426 3737 2756 2757 1598 4491 27 124 450 26 1947 2,e,train
387,1017 1766 0 1605 0 2758 3671,t,train
388,2427 227 1462 19 4492 0 10 2759 566 7503 4 7504 9 3174 2,m,train
389,13 1085 649 126 1 7505 1086 5627 1477 2760 1606 39 568 197 1087 2,e,train
390,1088 375 159 126 397 80 230 381 7506 7507 5628 1018 33,b,train
391,7 0 15 74 1 3738 7508 4493 4494,t,train
392,7 0 3739 41 1186 4 7509 4495 1 1089,b,train
393,12 88 55 492 101 171 1596 26 2428 68,b,train
394,0 0 4496 0 2429 1051 22 3740 17 7510 1589 2,t,train
395,438 835 3175 5 3176 3741 1 931 19 1019 2757 19 27 124 4439 2,e,train
396,551 0 159 1367 3742 0 4 3743 0 5629 3744 0 256 2,m,train
397,1187 922 5630 819 30 1090 22 11 53 125 16 1569 575 247 16 2,e,train
398,198 19 0 3177 2430 631 2761 15 0 3745 0 2,m,train
399,1904 325 10 550 1607 345 233 2407 5 1257 7511,b,train
400,1773 4497 620 4 48 5 2762 3178 896 419,b,train
401,7 0 7512 1162 1898 3746 5631 2763 7513,b,train
402,1774 877 3747 0 377 6 12 1586 320 7514,b,train
403,897 51 5509 4 552 5632 3177 8 3179,b,train
404,217 361 275 3748 37 11 1009 0 7515 0,e,train
405,67 182 7516 27 7517 13 63 7518 25 272 161 11 1180,t,train
406,493 236 8 493 4498 0 7519 104 1073 0,e,train
407,2160 0 183 2764 743 127 15 592,e,train
408,12 261 456 55 1948 26 38 1020 714 553,b,train
409,936 2765 428 4499 24 4500 1 2732 221,b,train
410,12 346 318 24 7520 187 18 171 5633,b,train
411,3749 210 114 18 0 8 5634,b,train
412,216 451 26 1608 12 0 4501,b,train
413,633 7521 4 0 9 1586 0 4 179,b,train
414,148 0 1465 19 7522 0 196 0 0 2766,t,train
415,7 844 335 105 1271 3692 5635 7523 694,b,train
416,370 0 5636 2161 0 993 254 944,b,train
417,695 5637 310 27 5638 36 11 401 17 2431,e,train
418,1775 5639 3750 80 729 34 6 70 3751 7524 10 945,b,train
419,1478 3180 0 376 5640 0 5641 1478 5642 54 2426 1 744 3172 2,e,train
420,416 0 62 7525 115 0 31 28 0 43 1600 6 62 2,e,train
421,532 2162 123 2432 7526 9 0 2767 0 94 1061 658 2433 2,t,train
422,7 0 287 920 7527 15 7528 4502 7529 2730 3752 2,e,train
423,5643 38 102 248 2120 1949 1950 7530 238 4503,b,train
424,0 2380 12 745 5 0 7531 4504,m,train
425,160 609 69 13 7532 7533 7534 69 7535,t,train
426,946 7536 0 726 2434 4 5644 5645,b,train
427,27 124 0 5646 1080 0 106 22 527,m,train
428,21 1091 0,e,train
429,12 843 4505 0 326 0 4 1017 188 385,e,train
430,31 28 8 31 28 35 4506 2416 0 197,e,train
431,0 15 7537 18 1091 125 0 0,e,train
432,2435 1092 156 45 209 5 347 1093,b,train
433,21 14 5647 7538 1479 3181 10 0 0 8 227 403 62 2,e,train
434,0 3753 4507 624 0 4 1094 10 2768 0,t,train
435,7539 0 0 1188 284 4508 0 0 344 18 5648,e,train
436,597 8 3670 1442 462 22 7540 32 1744 3182,e,train
437,572 82 0 209 0 5 355 1951 0,b,train
438,12 88 55 326 167 75 2769 5649 1329,b,train
439,7 7541 230 146 384 1 1952 319 2163,b,train
440,0 3183 1 394 2436 93 4509 634 0 1609,b,train
441,1010 1480 22 497 0 0 0 235 576 141 0 21 149 49,b,train
442,5650 0 1067 1344 8 4510 1610 5651 845 1272 5652,e,train
443,95 519 205 1603 258 1 11 5653 11 0 0,b,train
444,46 50 8 46 50 2164 940 26 0 214 7542 2437,e,train
445,2438 7543 52 255 18 14 4511 9 0 9 0 24 2,e,train
446,64 76 659 2439 554 9 1189 0 24 133 185 1 376 2,e,train
447,153 791 5654 16 5559 7544 7545,e,train
448,100 0 20 7546 506 4512 106 9 47 3184,b,train
449,1273 3754 8 7547 7548 15 1273 3754 7549 19 0,e,train
450,3755 142 7550 4513 5655 180 0 296,b,train
451,3756 5656 1776 4514 3757 4515 16 432 789,e,train
452,1368 0 36 0 0 1095 0 1953 172 0 61 3185,e,train
453,1777 5657 0 7551 36 1369 5658 3758 1096 13 2,e,train
454,474 555 21 943 570 20 1481 5659 709,e,train
455,1611 2165 8 1611 2165 173 0 32 573 1612 821,e,train
456,38 0 0 0 24 12 1887 0,b,train
457,1265 449 1097 551 23 2440 1932 0 0,e,train
458,1613 1778 1452 2770 898 344 36 5660 0,e,train
